Unnamed: 0_level_0,Product Name,Vendor Name,Number of Total Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,# Of Vulnerabilities,Weighted Average,% Of Total,% Of Total,% Of Total,% Of Total,% Of Total,% Of Total,% Of Total,% Of Total,% Of Total,% Of Total
Unnamed: 0_level_1,Product Name,Vendor Name,Number of Total Vulnerabilities,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9+,Weighted Average,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9+
1,Debian Linux,Debian,6139,,76.0,322,148.0,1721,1276,1272,1048,19.0,257,6.2,0,1,5,2,28,21,21,17,0,4
2,Android,Google,4234,,47.0,526,61.0,1104,383,322,842,36.0,913,6.7,0,1,12,1,26,9,8,20,1,22
3,Ubuntu Linux,Canonical,3193,,44.0,200,100.0,963,563,502,574,9.0,238,6.2,0,1,6,3,30,18,16,18,0,7
4,Fedora,Fedoraproject,3087,,29.0,160,78.0,906,684,748,389,9.0,84,6.1,0,1,5,3,29,22,24,13,0,3
5,Mac Os X,Apple,2973,1.0,24.0,207,25.0,564,354,705,519,13.0,561,6.9,0,1,7,1,19,12,24,17,0,19
6,Linux Kernel,Linux,2810,1.0,104.0,462,74.0,904,155,224,748,9.0,129,5.8,0,4,16,3,32,6,8,27,0,5
7,Windows 10,Microsoft,2641,,87.0,351,38.0,787,106,300,612,9.0,351,6.3,0,3,13,1,30,4,11,23,0,13
8,Iphone Os,Apple,2623,,29.0,191,22.0,535,251,907,243,6.0,439,6.7,0,1,7,1,20,10,35,9,0,17
9,Windows Server 2016,Microsoft,2397,,83.0,322,38.0,732,110,277,518,17.0,300,6.2,0,3,13,2,31,5,12,22,1,13
10,Chrome,Google,2387,,,15,,674,225,874,418,1.0,180,6.7,0,0,1,0,28,9,37,18,0,8
11,Windows Server 2008,Microsoft,2192,,79.0,237,18.0,475,89,241,566,19.0,468,6.8,0,4,11,1,22,4,11,26,1,21
12,Windows 7,Microsoft,2049,,77.0,243,15.0,473,70,221,527,12.0,411,6.7,0,4,12,1,23,3,11,26,1,20
13,Windows Server 2012,Microsoft,2004,,86.0,262,22.0,456,99,234,473,18.0,354,6.5,0,4,13,1,23,5,12,24,1,18
14,Firefox,Mozilla,1993,,8.0,55,4.0,440,347,292,335,1.0,511,7.2,0,0,3,0,22,17,15,17,0,26
15,Windows 8.1,Microsoft,1878,,82.0,258,20.0,439,81,221,435,10.0,332,6.5,0,4,14,1,23,4,12,23,1,18
16,Windows Server 2019,Microsoft,1857,,6.0,233,25.0,600,94,217,425,14.0,243,6.4,0,0,13,1,32,5,12,23,1,13
17,Windows Rt 8.1,Microsoft,1718,,66.0,243,19.0,418,63,199,396,9.0,305,6.5,0,4,14,1,24,4,12,23,1,18
