,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,required_col,new_col
0,5,1,1,1,1,1,160,263,355,82,96.495631,CHUBB,"block_1,line_1,word_ 1",CHUBB QUICK FLOOD ESTIMATE WORKSHEET (@) PERSONAL (PRIMARY) FLOOD
1,5,1,1,1,1,2,561,263,325,95,95.925887,QUICK,"block_1,line_1,word_ 2",CHUBB QUICK FLOOD ESTIMATE WORKSHEET (@) PERSONAL (PRIMARY) FLOOD
2,5,1,1,1,1,3,943,263,343,82,96.425020,FLOOD,"block_1,line_1,word_ 3",CHUBB QUICK FLOOD ESTIMATE WORKSHEET (@) PERSONAL (PRIMARY) FLOOD
3,5,1,1,1,1,4,1346,263,505,82,95.886447,ESTIMATE,"block_1,line_1,word_ 4",CHUBB QUICK FLOOD ESTIMATE WORKSHEET (@) PERSONAL (PRIMARY) FLOOD
4,5,1,1,1,1,5,1888,263,680,82,96.107239,WORKSHEET,"block_1,line_1,word_ 5",CHUBB QUICK FLOOD ESTIMATE WORKSHEET (@) PERSONAL (PRIMARY) FLOOD
5,5,1,1,1,1,6,2794,239,126,137,77.274256,(@),"block_1,line_1,word_ 6",CHUBB QUICK FLOOD ESTIMATE WORKSHEET (@) PERSONAL (PRIMARY) FLOOD
6,5,1,1,1,1,7,2965,239,309,137,96.971976,PERSONAL,"block_1,line_1,word_ 7",CHUBB QUICK FLOOD ESTIMATE WORKSHEET (@) PERSONAL (PRIMARY) FLOOD
7,5,1,1,1,1,8,3319,239,377,137,96.281013,(PRIMARY),"block_1,line_1,word_ 8",CHUBB QUICK FLOOD ESTIMATE WORKSHEET (@) PERSONAL (PRIMARY) FLOOD
8,5,1,1,1,1,9,3733,277,230,55,95.211255,FLOOD,"block_1,line_1,word_ 9",CHUBB QUICK FLOOD ESTIMATE WORKSHEET (@) PERSONAL (PRIMARY) FLOOD
9,5,1,2,1,1,1,153,391,44,49,96.429815,A,"block_2,line_1,word_ 1",A premium estimate derived from this worksheet is not the result of a raat e aM fot properhrel one lonelier
10,5,1,2,1,1,2,219,391,270,62,96.037388,premium,"block_2,line_1,word_ 2",A premium estimate derived from this worksheet is not the result of a raat e aM fot properhrel one lonelier
11,5,1,2,1,1,3,513,391,258,50,96.740727,estimate,"block_2,line_1,word_ 3",A premium estimate derived from this worksheet is not the result of a raat e aM fot properhrel one lonelier
12,5,1,2,1,1,4,796,391,227,50,96.638768,derived,"block_2,line_1,word_ 4",A premium estimate derived from this worksheet is not the result of a raat e aM fot properhrel one lonelier
13,5,1,2,1,1,5,1042,390,134,51,95.651352,from,"block_2,line_1,word_ 5",A premium estimate derived from this worksheet is not the result of a raat e aM fot properhrel one lonelier
14,5,1,2,1,1,6,1200,391,105,50,96.295383,this,"block_2,line_1,word_ 6",A premium estimate derived from this worksheet is not the result of a raat e aM fot properhrel one lonelier
