Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,120194.664063,123628.796875,120194.664063,123628.796875,114654.992188,983179
2010-01-05,124609.984375,126572.343750,122647.617188,123138.210938,114200.000000,1517906
2010-01-06,122647.617188,124609.984375,119213.484375,122157.031250,113290.054688,1331721
2010-01-07,120194.664063,120685.257813,112345.218750,112835.812500,104645.429688,3412881
2010-01-08,112835.812500,113326.398438,106948.726563,108911.085938,101005.578125,3299717
2010-01-11,110382.859375,112835.812500,106948.726563,108420.492188,100550.601563,2257200
2010-01-12,108420.492188,111364.039063,108420.492188,109892.265625,101915.539063,1348229
2010-01-13,108911.085938,110382.859375,106948.726563,107439.312500,99640.640625,1086572
2010-01-14,107929.906250,109401.679688,106948.726563,107929.906250,100095.617188,1153298
2010-01-15,108420.492188,109401.679688,106458.132813,107929.906250,100095.617188,1167257
2010-01-18,107439.312500,110873.445313,107439.312500,110382.859375,102370.531250,1134452
2010-01-19,112345.218750,113326.398438,110382.859375,111364.039063,103280.476563,976019
2010-01-20,112345.218750,112835.812500,110382.859375,110873.445313,102825.507813,1001175
2010-01-21,110873.445313,110873.445313,108911.085938,110873.445313,102825.507813,1139402
2010-01-22,108911.085938,109401.679688,106458.132813,107439.312500,99640.640625,1617078
2010-01-25,104986.359375,107439.312500,104986.359375,106948.726563,99185.656250,1032166
2010-01-26,108420.492188,108911.085938,103514.593750,105967.539063,98275.703125,1381072
2010-01-27,104986.359375,105967.539063,102533.406250,104005.179688,96455.781250,1698245
2010-01-28,104005.179688,108911.085938,102533.406250,107929.906250,100095.617188,1551449
2010-01-29,106458.132813,107929.906250,103514.593750,106948.726563,99185.656250,1544555
2010-02-01,107439.312500,109892.265625,104495.773438,108911.085938,101005.578125,1110516
2010-02-02,110382.859375,110873.445313,107439.312500,108911.085938,101005.578125,1012370
2010-02-03,110873.445313,111364.039063,109401.679688,110873.445313,102825.507813,891148
2010-02-04,110873.445313,111364.039063,108911.085938,109892.265625,101915.539063,540892
2010-02-05,104986.359375,106458.132813,104495.773438,105967.539063,98275.703125,828753
2010-02-08,106458.132813,107929.906250,105476.953125,106948.726563,99185.656250,662161
2010-02-09,106458.132813,108420.492188,105967.539063,107439.312500,99640.640625,485379
2010-02-10,109401.679688,112345.218750,107929.906250,111854.625000,103735.460938,1565109
2010-02-11,113326.398438,113326.398438,110382.859375,111854.625000,103735.460938,833360
2010-02-12,111854.625000,112835.812500,109892.265625,112835.812500,104645.429688,642682
2010-02-16,111854.625000,113816.992188,111364.039063,112345.218750,104190.437500,503597
2010-02-17,113816.992188,114307.578125,112345.218750,113326.398438,105100.398438,668915
2010-02-18,113326.398438,115288.757813,113326.398438,114307.578125,106010.351563,1172692
2010-02-19,113326.398438,113816.992188,110873.445313,112835.812500,104645.429688,830159
2010-02-22,113816.992188,114798.171875,113326.398438,114798.171875,106465.351563,726466
2010-02-23,114798.171875,114798.171875,110873.445313,111854.625000,103735.460938,1188430
2010-02-24,109892.265625,109892.265625,107439.312500,107929.906250,100095.617188,1350275
2010-02-25,107929.906250,108911.085938,103514.593750,104005.179688,96455.781250,2319195
2010-02-26,104986.359375,105967.539063,103514.593750,104986.359375,97365.726563,864942
2010-03-02,106458.132813,107439.312500,105476.953125,105967.539063,98275.703125,664516
2010-03-03,104986.359375,106948.726563,104495.773438,106458.132813,98730.664063,617253
2010-03-04,106458.132813,107439.312500,102533.406250,104005.179688,96455.781250,1936625
2010-03-05,104005.179688,104986.359375,101552.226563,102533.406250,95090.835938,2877796
2010-03-08,104495.773438,104495.773438,102533.406250,103514.593750,96000.804688,1443850
2010-03-09,102533.406250,103024.000000,101061.640625,102042.820313,94635.867188,1546657
2010-03-10,101552.226563,104495.773438,101061.640625,104495.773438,96910.773438,1300588
2010-03-11,104495.773438,105967.539063,104005.179688,104495.773438,96910.773438,1181178
2010-03-12,104986.359375,105967.539063,104005.179688,104986.359375,97365.726563,595281
2010-03-15,104986.359375,105476.953125,103024.000000,103024.000000,95545.828125,598460
2010-03-16,103024.000000,103024.000000,101061.640625,102533.406250,95090.835938,1062971
2010-03-17,103024.000000,105967.539063,102042.820313,105476.953125,97820.734375,1648829
2010-03-18,105476.953125,107439.312500,105476.953125,106458.132813,98730.664063,1098656
2010-03-19,106458.132813,106948.726563,104495.773438,106948.726563,99185.656250,874657
2010-03-22,105967.539063,106458.132813,104495.773438,104986.359375,97365.726563,758023
2010-03-23,105967.539063,106458.132813,103514.593750,104495.773438,96910.773438,1598363
2010-03-24,106458.132813,106948.726563,105476.953125,106458.132813,98730.664063,1486272
2010-03-25,107439.312500,113326.398438,106948.726563,113326.398438,105100.398438,3587645
2010-03-26,114798.171875,116269.945313,113816.992188,114798.171875,106465.351563,2209238
2010-03-29,113816.992188,115779.351563,113326.398438,114798.171875,106465.351563,1223770
2010-03-30,115779.351563,116269.945313,113816.992188,115288.757813,106920.312500,1101768
2010-03-31,114798.171875,115288.757813,112835.812500,112835.812500,104645.429688,1008199
2010-04-01,112835.812500,117741.710938,112835.812500,116760.531250,108285.250000,1922550
2010-04-02,116760.531250,120685.257813,116269.945313,119213.484375,110560.179688,1854922
2010-04-05,119704.078125,120685.257813,117251.125000,119704.078125,111015.140625,1005268
2010-04-06,120194.664063,120685.257813,117741.710938,120685.257813,111925.109375,995200
2010-04-07,119704.078125,120194.664063,116760.531250,116760.531250,108285.250000,1278377
2010-04-08,116760.531250,118722.898438,116760.531250,117741.710938,109195.218750,949146
2010-04-09,117741.710938,118232.304688,114798.171875,116760.531250,108285.250000,931235
2010-04-12,117741.710938,118722.898438,114307.578125,115288.757813,106920.312500,693795
2010-04-13,115288.757813,118722.898438,114798.171875,116760.531250,108285.250000,825225
2010-04-14,118722.898438,122157.031250,118722.898438,121175.843750,112380.078125,2006837
2010-04-15,121175.843750,123138.210938,120194.664063,121666.437500,112835.070313,1402490
2010-04-16,120685.257813,121175.843750,118722.898438,120685.257813,111925.109375,713027
2010-04-19,118232.304688,120685.257813,118232.304688,120194.664063,111470.125000,697783
2010-04-20,120194.664063,121175.843750,118722.898438,119704.078125,111015.140625,754150
2010-04-21,120194.664063,121666.437500,119704.078125,121175.843750,112380.078125,1110359
2010-04-22,120194.664063,120685.257813,118722.898438,120685.257813,111925.109375,709639
2010-04-23,120685.257813,122157.031250,118722.898438,121666.437500,112835.070313,965653
2010-04-26,121666.437500,122647.617188,120685.257813,122157.031250,113290.054688,931045
2010-04-27,123138.210938,127062.929688,122647.617188,125591.164063,116474.898438,2127359
2010-04-28,123628.796875,127553.523438,123138.210938,125100.570313,116019.914063,2080544
2010-04-29,125100.570313,125591.164063,120685.257813,121666.437500,112835.070313,1629376
2010-04-30,122157.031250,123628.796875,118232.304688,119704.078125,111015.140625,1959536
2010-05-03,118722.898438,120685.257813,116760.531250,117251.125000,108740.234375,995359
2010-05-04,117741.710938,118232.304688,112345.218750,113326.398438,105100.398438,2106615
2010-05-06,110382.859375,114798.171875,109892.265625,112345.218750,104190.437500,1085575
2010-05-07,109892.265625,114798.171875,108911.085938,111364.039063,103280.476563,1927787
2010-05-10,111854.625000,116269.945313,111854.625000,114798.171875,106465.351563,1117138
2010-05-11,116760.531250,116760.531250,111854.625000,114307.578125,106010.351563,1000819
2010-05-12,113326.398438,114307.578125,109892.265625,110873.445313,102825.507813,2067135
2010-05-13,112345.218750,114307.578125,110873.445313,110873.445313,102825.507813,1252330
2010-05-14,110382.859375,112345.218750,107929.906250,109401.679688,101460.562500,1672355
2010-05-17,108420.492188,108420.492188,105967.539063,106948.726563,99185.656250,1217484
2010-05-18,106948.726563,107439.312500,101552.226563,103024.000000,95545.828125,1826482
2010-05-19,102042.820313,103024.000000,98608.687500,101061.640625,93725.914063,2018736
2010-05-20,101552.226563,103024.000000,98118.093750,99099.273438,91905.976563,1781684
2010-05-24,99589.867188,103024.000000,99099.273438,100080.453125,92815.945313,1623701
2010-05-25,99589.867188,100080.453125,95370.789063,97823.742188,90723.039063,1829602
2010-05-26,98608.687500,100080.453125,97136.914063,98118.093750,90996.015625,1451086
2010-05-27,98118.093750,101552.226563,98019.976563,100080.453125,92815.945313,1410962
2010-05-28,102042.820313,102533.406250,98608.687500,100080.453125,92815.945313,1612344
2010-05-31,100080.453125,102533.406250,100080.453125,102042.820313,94635.867188,956884
2010-06-01,102042.820313,103514.593750,101552.226563,103024.000000,95545.828125,748748
2010-06-03,104986.359375,106948.726563,103514.593750,106458.132813,98730.664063,1186674
2010-06-04,106948.726563,106948.726563,103514.593750,104005.179688,96455.781250,976566
2010-06-07,101061.640625,102042.820313,98608.687500,100080.453125,92815.945313,1739143
2010-06-08,99099.273438,101061.640625,98118.093750,99099.273438,91905.976563,1731232
2010-06-09,98608.687500,99099.273438,95763.257813,96646.320313,89631.085938,4246671
2010-06-10,96450.085938,97431.265625,94193.375000,94585.843750,87720.171875,3289707
2010-06-11,94782.078125,95567.023438,92231.007813,92819.718750,86082.234375,3344319
2010-06-14,92721.601563,94880.195313,91740.421875,94487.726563,87629.164063,2114518
2010-06-15,94193.375000,96450.085938,93997.132813,94585.843750,87720.171875,1540241
2010-06-16,95567.023438,96155.734375,93506.546875,94095.250000,87265.187500,1555101
2010-06-17,94487.726563,96351.968750,94193.375000,95861.375000,88903.117188,1633927
2010-06-18,96253.851563,96548.203125,94683.960938,95468.906250,88539.125000,1104605
2010-06-21,95959.500000,96450.085938,94291.492188,95076.437500,88175.156250,1587603
2010-06-22,94978.312500,95076.437500,92917.835938,93604.664063,86810.218750,2197247
2010-06-23,92819.718750,93506.546875,92329.125000,92819.718750,86082.234375,880801
2010-06-24,92917.835938,93800.898438,92819.718750,93408.429688,86628.203125,1124444
2010-06-25,92329.125000,93997.132813,92329.125000,93702.781250,86901.210938,1305145
2010-06-28,93899.015625,94782.078125,92819.718750,92819.718750,86082.234375,893045
2010-06-29,93114.070313,93212.187500,90366.765625,91053.593750,84444.296875,1260243
2010-06-30,89778.054688,92525.367188,89679.937500,92231.007813,85536.257813,1294461
2010-07-01,91740.421875,92525.367188,90661.117188,91249.828125,84626.304688,904007
2010-07-02,90759.234375,93604.664063,90464.882813,92623.484375,85900.250000,1160332
2010-07-05,93604.664063,94095.250000,92231.007813,92231.007813,85536.257813,741486
2010-07-06,93506.546875,96155.734375,92525.367188,96057.617188,89085.101563,2381280
2010-07-07,96450.085938,96940.679688,93997.132813,94585.843750,87720.171875,1536573
2010-07-08,95174.554688,96155.734375,94193.375000,95665.140625,88721.117188,921997
2010-07-09,95665.140625,95959.500000,93899.015625,95763.257813,88812.101563,1123750
2010-07-12,95861.375000,96744.445313,95174.554688,96253.851563,89267.101563,1015267
2010-07-13,96548.203125,98019.976563,96450.085938,97529.382813,90450.039063,1422751
2010-07-14,98608.687500,99099.273438,98118.093750,98118.093750,90996.015625,1216223
2010-07-15,98118.093750,98608.687500,96744.445313,97333.148438,90268.062500,917412
2010-07-16,97431.265625,98118.093750,96155.734375,96842.562500,89813.070313,927714
2010-07-19,95763.257813,96351.968750,95370.789063,95665.140625,88721.117188,597035
2010-07-20,95763.257813,99099.273438,95567.023438,97431.265625,90359.054688,1124421
2010-07-21,98118.093750,98608.687500,96842.562500,97529.382813,90450.039063,665170
2010-07-22,97136.914063,97431.265625,95763.257813,95959.500000,88994.101563,575434
2010-07-23,96646.320313,97725.625000,96253.851563,97431.265625,90359.054688,683812
2010-07-26,99099.273438,102533.406250,98608.687500,101552.226563,94180.875000,2501301
2010-07-27,102533.406250,103514.593750,101061.640625,102042.820313,94635.867188,1544905
2010-07-28,102042.820313,102533.406250,97529.382813,99099.273438,91905.976563,1810237
2010-07-29,97823.742188,100080.453125,96744.445313,98608.687500,91451.007813,1255593
2010-07-30,99099.273438,99099.273438,97235.031250,98608.687500,91451.007813,631371
2010-08-02,99099.273438,101061.640625,98608.687500,100571.046875,93270.914063,771382
2010-08-03,102042.820313,104986.359375,101552.226563,104005.179688,96455.781250,1852084
2010-08-04,103514.593750,104495.773438,102533.406250,104495.773438,96910.773438,772169
2010-08-05,104495.773438,106948.726563,104495.773438,105476.953125,97820.734375,1882230
2010-08-06,106458.132813,107439.312500,104005.179688,104986.359375,97365.726563,1614069
