Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,27.170000,30.230000,27.049999,30.000000,30.000000,239300
2021-03-02,33.000000,33.820000,30.299999,31.660000,31.660000,292100
2021-03-03,31.559999,35.200001,31.129999,32.169998,32.169998,193900
2021-03-04,32.020000,33.439999,26.350000,28.780001,28.780001,199900
2021-03-05,28.600000,30.400000,26.545000,30.030001,30.030001,157800
2021-03-08,30.360001,34.669998,29.881001,31.620001,31.620001,222900
2021-03-09,32.000000,35.980000,31.570000,35.689999,35.689999,317700
2021-03-10,35.900002,38.369999,35.400002,35.619999,35.619999,304700
2021-03-11,36.009998,43.070000,35.910000,37.470001,37.470001,544300
2021-03-12,36.990002,40.259998,36.970001,39.099998,39.099998,242600
2021-03-15,39.490002,42.580002,38.389999,38.900002,38.900002,282700
2021-03-16,39.639999,40.500000,38.689999,39.340000,39.340000,602700
2021-03-17,39.200001,40.439999,35.919998,39.930000,39.930000,262900
2021-03-18,39.770000,39.959999,38.200001,38.610001,38.610001,281300
2021-03-19,39.610001,39.959999,36.869999,37.459999,37.459999,2182500
2021-03-22,36.880001,37.790001,32.759998,33.389999,33.389999,436200
2021-03-23,32.799999,33.259998,31.059999,31.770000,31.770000,192400
2021-03-24,31.740000,32.625000,29.209999,29.299999,29.299999,286100
2021-03-25,28.950001,30.014999,28.030001,28.280001,28.280001,463300
2021-03-26,27.990000,29.570000,25.629999,26.379999,26.379999,157400
2021-03-29,26.450001,26.677000,25.250000,25.860001,25.860001,95200
2021-03-30,25.820000,28.020000,25.201000,27.870001,27.870001,272200
2021-03-31,28.020000,33.389999,28.000000,32.910000,32.910000,288000
2021-04-01,32.299999,32.450001,29.160000,31.459999,31.459999,327100
2021-04-05,31.910000,31.910000,28.799999,30.170000,30.170000,181100
2021-04-06,29.950001,29.950001,28.030001,28.040001,28.040001,125100
2021-04-07,28.129999,28.280001,24.639999,24.980000,24.980000,212400
2021-04-08,25.209999,25.653000,23.561001,23.660000,23.660000,47500
2021-04-09,23.590000,24.966000,22.590000,23.190001,23.190001,119400
2021-04-12,23.240000,23.336000,20.870001,21.840000,21.840000,154000
2021-04-13,21.850000,22.990000,21.799999,21.969999,21.969999,95700
2021-04-14,22.150000,24.350000,22.129999,23.959999,23.959999,185900
2021-04-15,24.030001,24.500000,23.514999,24.330000,24.330000,82700
2021-04-16,24.270000,24.270000,21.355000,22.360001,22.360001,206400
2021-04-19,22.150000,24.350000,22.105000,24.299999,24.299999,114300
2021-04-20,24.320000,24.850000,23.500000,24.340000,24.340000,149400
2021-04-21,24.629999,24.629999,23.395000,24.010000,24.010000,127900
2021-04-22,24.139999,24.670000,23.230000,24.120001,24.120001,166500
2021-04-23,23.910000,25.500000,23.850000,24.740000,24.740000,175900
2021-04-26,24.670000,27.530001,23.799999,27.440001,27.440001,109600
2021-04-27,27.379999,27.629999,24.770000,25.330000,25.330000,109100
2021-04-28,25.139999,26.660000,24.955000,26.010000,26.010000,127400
2021-04-29,25.879999,26.540001,23.920000,24.200001,24.200001,227700
2021-04-30,24.000000,24.809999,22.030001,22.360001,22.360001,210400
2021-05-03,22.520000,24.950001,22.170000,24.629999,24.629999,128000
2021-05-04,24.540001,25.440001,23.299999,24.250000,24.250000,107500
2021-05-05,24.340000,25.000000,23.150000,24.160000,24.160000,111000
2021-05-06,24.040001,24.492001,22.730000,23.370001,23.370001,231600
2021-05-07,23.590000,24.504999,22.549999,22.850000,22.850000,89400
2021-05-10,22.870001,23.280001,21.799999,21.940001,21.940001,74100
2021-05-11,21.209999,21.690001,19.870001,19.959999,19.959999,133300
2021-05-12,19.850000,20.260000,19.049999,19.190001,19.190001,90500
2021-05-13,19.480000,19.670000,17.299999,18.330000,18.330000,96800
2021-05-14,17.799999,18.900000,17.520000,18.790001,18.790001,800900
2021-05-17,18.770000,20.493000,18.209999,18.570000,18.570000,190500
2021-05-18,18.639999,19.665001,18.639999,19.100000,19.100000,326400
2021-05-19,18.809999,19.230000,17.940001,18.709999,18.709999,121800
2021-05-20,19.010000,19.139999,17.860001,18.750000,18.750000,114800
2021-05-21,19.129999,19.785000,18.469999,18.750000,18.750000,107500
2021-05-24,18.760000,18.760000,17.475000,18.000000,18.000000,97400
2021-05-25,18.360001,18.360001,17.000000,17.010000,17.010000,87900
2021-05-26,17.129999,17.525000,16.320000,16.440001,16.440001,345100
2021-05-27,16.770000,19.080000,16.320999,18.400000,18.400000,388900
2021-05-28,18.400000,18.875000,17.389999,17.510000,17.510000,69600
2021-06-01,17.670000,18.389999,16.320000,16.610001,16.610001,198700
2021-06-02,17.070000,17.840000,16.250000,16.709999,16.709999,172500
2021-06-03,16.709999,17.200001,16.370001,16.860001,16.860001,139600
2021-06-04,16.969999,17.120001,16.530001,16.650000,16.650000,111300
2021-06-07,16.809999,17.160000,16.000000,16.190001,16.190001,345700
2021-06-08,16.270000,16.830000,16.000000,16.100000,16.100000,349000
