"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Mar-2022","EQ","1,440.00","1,446.50","1,415.00","1,429.25","1,420.00","1,421.70","1,425.68","2,135.00","1,165.00",325455,"463,993,057.95",17550
"28-Mar-2022","EQ","1,451.60","1,451.60","1,420.05","1,443.20","1,430.35","1,429.25","1,434.19","2,135.00","1,165.00",333774,"478,695,836.95",19433
"25-Mar-2022","EQ","1,440.00","1,487.80","1,424.65","1,422.70","1,441.00","1,443.20","1,458.56","2,135.00","1,165.00",1745667,"2,546,165,296.60",87966
"24-Mar-2022","EQ","1,400.00","1,425.00","1,400.00","1,401.80","1,419.95","1,422.70","1,416.12","2,135.00","1,165.00",248408,"351,775,526.85",15778
"23-Mar-2022","EQ","1,423.60","1,439.00","1,395.00","1,419.50","1,399.65","1,401.80","1,414.30","2,135.00","1,165.00",290000,"410,146,013.80",19259
"22-Mar-2022","EQ","1,446.00","1,448.65","1,410.00","1,439.30","1,418.00","1,419.50","1,423.83","2,135.00","1,165.00",486754,"693,054,852.15",29481
"21-Mar-2022","EQ","1,430.00","1,455.00","1,413.60","1,426.65","1,437.05","1,439.30","1,436.33","2,135.00","1,165.00",619881,"890,351,410.90",29631
"17-Mar-2022","EQ","1,421.50","1,433.95","1,408.55","1,412.80","1,423.00","1,426.65","1,421.79","2,135.00","1,165.00",549522,"781,307,205.05",19727
"16-Mar-2022","EQ","1,380.40","1,418.80","1,380.40","1,369.90","1,409.05","1,412.80","1,402.44","2,135.00","1,165.00",749522,"1,051,163,115.75",33581
"15-Mar-2022","EQ","1,419.00","1,419.00","1,351.50","1,406.10","1,361.60","1,369.90","1,377.85","2,135.00","1,165.00",700302,"964,907,696.35",38821
"14-Mar-2022","EQ","1,395.80","1,427.20","1,389.50","1,388.65","1,407.00","1,406.10","1,410.52","2,135.00","1,165.00",875466,"1,234,858,878.20",42263
"11-Mar-2022","EQ","1,324.50","1,419.65","1,316.70","1,328.75","1,388.00","1,388.65","1,388.20","2,135.00","1,165.00",2064491,"2,865,926,787.45",116432
"10-Mar-2022","EQ","1,297.00","1,339.45","1,273.50","1,262.75","1,328.50","1,328.75","1,307.15","2,135.00","1,165.00",1232720,"1,611,346,115.80",60906
"09-Mar-2022","EQ","1,254.90","1,267.50","1,239.00","1,237.35","1,263.00","1,262.75","1,251.68","2,135.00","1,165.00",1039370,"1,300,953,973.75",32484
"08-Mar-2022","EQ","1,269.85","1,269.85","1,207.60","1,253.95","1,238.05","1,237.35","1,235.67","2,135.00","1,165.00",1897416,"2,344,572,812.25",42288
"07-Mar-2022","EQ","1,244.75","1,289.15","1,225.00","1,264.75","1,260.00","1,253.95","1,250.21","2,135.00","1,165.00",1453853,"1,817,614,600.00",49876
"04-Mar-2022","EQ","1,341.15","1,346.00","1,256.10","1,359.05","1,265.00","1,264.75","1,284.95","2,135.00","1,165.00",1449865,"1,862,997,966.60",54733
"03-Mar-2022","EQ","1,397.90","1,397.90","1,347.15","1,366.30","1,360.00","1,359.05","1,367.61","2,135.00","1,165.00",527498,"721,413,555.75",31387
"02-Mar-2022","EQ","1,272.00","1,398.70","1,250.85","1,272.25","1,365.15","1,366.30","1,365.70","2,135.00","1,165.00",1940344,"2,649,923,802.30",88527
"28-Feb-2022","EQ","1,247.10","1,277.95","1,228.65","1,263.10","1,271.25","1,272.25","1,261.58","2,135.00","1,165.00",373324,"470,979,695.20",21833
"25-Feb-2022","EQ","1,220.00","1,269.90","1,201.00","1,179.05","1,263.85","1,263.10","1,245.79","2,135.00","1,165.00",844213,"1,051,710,775.05",41093
"24-Feb-2022","EQ","1,249.00","1,249.00","1,165.00","1,293.45","1,175.00","1,179.05","1,198.09","2,135.00","1,165.00",1712462,"2,051,685,327.15",96162
"23-Feb-2022","EQ","1,327.00","1,337.15","1,288.05","1,315.75","1,293.00","1,293.45","1,306.85","2,135.00","1,285.00",473025,"618,172,410.70",25922
"22-Feb-2022","EQ","1,325.00","1,348.65","1,285.00","1,376.15","1,312.90","1,315.75","1,311.43","2,135.00","1,285.00",1372498,"1,799,931,487.20",56448
"21-Feb-2022","EQ","1,395.00","1,409.90","1,371.25","1,401.95","1,376.00","1,376.15","1,388.91","2,135.00","1,335.95",350381,"486,648,192.30",21104
"18-Feb-2022","EQ","1,412.00","1,431.85","1,399.10","1,417.55","1,400.55","1,401.95","1,415.73","2,135.00","1,335.95",242667,"343,550,391.25",15314
"17-Feb-2022","EQ","1,421.00","1,446.90","1,410.00","1,421.75","1,416.35","1,417.55","1,426.99","2,135.00","1,335.95",358136,"511,055,896.60",24890
"16-Feb-2022","EQ","1,396.80","1,449.90","1,367.00","1,384.90","1,418.00","1,421.75","1,417.41","2,135.00","1,335.95",696772,"987,610,184.40",44298
"15-Feb-2022","EQ","1,374.00","1,400.35","1,335.95","1,373.45","1,386.65","1,384.90","1,366.75","2,135.00","1,335.95",517877,"707,808,621.65",30740
"14-Feb-2022","EQ","1,389.00","1,415.00","1,362.05","1,410.70","1,364.40","1,373.45","1,388.62","2,135.00","1,362.05",386143,"536,205,498.30",31465
"11-Feb-2022","EQ","1,439.10","1,443.00","1,406.60","1,452.30","1,409.00","1,410.70","1,422.73","2,135.00","1,385.20",398727,"567,281,997.45",23389
"10-Feb-2022","EQ","1,452.00","1,462.00","1,423.00","1,444.10","1,450.00","1,452.30","1,447.84","2,135.00","1,385.20",303268,"439,084,388.40",19342
"09-Feb-2022","EQ","1,432.20","1,458.80","1,430.05","1,424.70","1,443.95","1,444.10","1,445.00","2,135.00","1,385.20",426870,"616,825,079.60",32315
"08-Feb-2022","EQ","1,407.95","1,434.00","1,395.05","1,399.25","1,425.00","1,424.70","1,417.73","2,135.00","1,385.20",491958,"697,463,217.65",30174
"07-Feb-2022","EQ","1,424.95","1,424.95","1,385.20","1,427.85","1,397.35","1,399.25","1,403.55","2,135.00","1,385.20",906789,"1,272,721,887.05",55121
"04-Feb-2022","EQ","1,460.00","1,467.50","1,421.00","1,467.20","1,425.00","1,427.85","1,447.67","2,135.00","1,421.00",1709407,"2,474,650,835.40",51394
"03-Feb-2022","EQ","1,534.00","1,535.85","1,458.00","1,540.95","1,462.90","1,467.20","1,489.25","2,135.00","1,432.30",1282971,"1,910,667,537.30",70219
"02-Feb-2022","EQ","1,547.00","1,564.90","1,536.00","1,535.20","1,540.25","1,540.95","1,550.35","2,135.00","1,432.30",389678,"604,136,458.30",24816
"01-Feb-2022","EQ","1,544.85","1,564.90","1,515.00","1,537.60","1,535.90","1,535.20","1,540.23","2,135.00","1,432.30",444745,"685,011,808.80",29991
"31-Jan-2022","EQ","1,560.00","1,579.15","1,530.10","1,557.85","1,538.00","1,537.60","1,545.17","2,135.00","1,432.30",399431,"617,189,031.55",24890
"28-Jan-2022","EQ","1,577.00","1,608.90","1,552.00","1,554.95","1,561.10","1,557.85","1,588.43","2,135.00","1,432.30",502216,"797,737,233.40",34444
"27-Jan-2022","EQ","1,520.00","1,561.00","1,515.00","1,533.85","1,557.05","1,554.95","1,537.78","2,135.00","1,432.30",715431,"1,100,174,360.85",44635
"25-Jan-2022","EQ","1,473.80","1,550.90","1,465.30","1,477.80","1,529.80","1,533.85","1,514.45","2,135.00","1,432.30",671339,"1,016,708,098.05",46422
"24-Jan-2022","EQ","1,534.50","1,539.60","1,462.00","1,533.15","1,476.95","1,477.80","1,484.77","2,135.00","1,432.30",546015,"810,708,716.95",41366
"21-Jan-2022","EQ","1,556.00","1,577.15","1,527.10","1,569.25","1,533.30","1,533.15","1,548.26","2,135.00","1,432.30",372057,"576,040,685.80",22863
"20-Jan-2022","EQ","1,575.10","1,597.00","1,565.00","1,579.85","1,569.25","1,569.25","1,581.04","2,135.00","1,432.30",243226,"384,549,684.65",16501
"19-Jan-2022","EQ","1,567.70","1,594.00","1,549.90","1,567.55","1,576.00","1,579.85","1,571.12","2,135.00","1,432.30",426572,"670,194,240.50",27618
"18-Jan-2022","EQ","1,619.80","1,626.75","1,560.15","1,616.10","1,567.80","1,567.55","1,592.64","2,135.00","1,432.30",387355,"616,918,661.70",26487
