"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Mar-2022","EQ","228.00","231.95","223.50","226.30","224.00","225.00","227.26","277.30","178.00",979953,"222,700,597.40",18587
"28-Mar-2022","EQ","227.70","229.60","221.65","226.85","225.30","226.30","225.13","277.30","178.00",830674,"187,007,671.25",13992
"25-Mar-2022","EQ","227.00","234.25","225.85","226.30","226.30","226.85","230.44","277.30","178.00",1948287,"448,971,726.95",26889
"24-Mar-2022","EQ","225.40","227.70","222.60","225.40","227.00","226.30","225.36","277.30","178.00",506776,"114,206,154.05",9765
"23-Mar-2022","EQ","221.00","226.55","219.05","220.30","225.90","225.40","223.68","277.30","178.00",741770,"165,915,672.50",11353
"22-Mar-2022","EQ","219.70","226.70","217.50","216.90","220.50","220.30","222.04","277.30","178.00",1230246,"273,167,294.60",16734
"21-Mar-2022","EQ","210.80","219.70","208.65","209.70","216.70","216.90","215.36","277.30","178.00",975131,"210,004,097.50",22337
"17-Mar-2022","EQ","207.00","211.00","204.75","205.30","209.25","209.70","208.48","277.30","175.00",619982,"129,255,946.15",7709
"16-Mar-2022","EQ","205.50","208.80","201.75","199.55","204.70","205.30","205.26","277.30","175.00",635201,"130,383,667.50",7020
"15-Mar-2022","EQ","198.25","205.90","196.65","197.50","201.00","199.55","200.97","277.30","175.00",754223,"151,578,061.40",11615
"14-Mar-2022","EQ","201.70","202.45","194.50","200.85","198.10","197.50","197.30","277.30","175.00",436874,"86,197,182.45",5886
"11-Mar-2022","EQ","201.50","204.00","199.10","201.80","201.85","200.85","202.09","277.30","175.00",572709,"115,739,497.90",15048
"10-Mar-2022","EQ","200.20","205.30","196.30","195.90","201.50","201.80","201.58","277.30","175.00",809622,"163,206,533.40",17611
"09-Mar-2022","EQ","194.00","200.10","193.15","192.40","195.80","195.90","197.17","277.30","175.00",506220,"99,813,486.45",8223
"08-Mar-2022","EQ","188.70","193.30","185.00","187.75","192.10","192.40","189.69","277.30","175.00",496173,"94,120,814.85",12102
"07-Mar-2022","EQ","187.00","192.60","183.25","193.65","187.35","187.75","187.33","277.30","175.00",628326,"117,704,472.60",18131
"04-Mar-2022","EQ","197.90","201.40","193.00","199.65","193.60","193.65","196.90","277.30","175.00",502728,"98,989,229.15",15830
"03-Mar-2022","EQ","197.80","208.05","196.80","195.15","199.50","199.65","201.83","277.30","175.00",768119,"155,030,809.90",12260
"02-Mar-2022","EQ","190.00","197.20","189.50","191.95","195.50","195.15","194.35","277.30","175.00",443953,"86,282,623.70",8315
"28-Feb-2022","EQ","186.80","193.50","182.00","187.90","191.20","191.95","189.29","277.30","175.00",450179,"85,214,540.45",8185
"25-Feb-2022","EQ","189.00","191.05","185.15","179.50","188.95","187.90","188.59","277.30","175.00",537500,"101,368,393.75",19311
"24-Feb-2022","EQ","194.00","194.00","178.00","197.45","179.50","179.50","185.17","277.30","175.00",852557,"157,866,696.05",17324
"23-Feb-2022","EQ","197.50","206.30","196.30","195.65","197.00","197.45","198.63","277.30","175.00",509799,"101,260,056.45",8386
"22-Feb-2022","EQ","200.00","202.00","192.60","202.45","196.25","195.65","195.65","277.30","175.00",723291,"141,510,638.00",13800
"21-Feb-2022","EQ","211.00","211.25","201.60","211.80","202.60","202.45","206.13","277.30","175.00",414067,"85,351,723.30",7569
"18-Feb-2022","EQ","215.60","216.90","210.80","215.60","211.00","211.80","212.81","277.30","175.00",233847,"49,765,196.35",4377
"17-Feb-2022","EQ","220.70","220.80","214.50","219.40","214.50","215.60","217.09","277.30","175.00",212353,"46,100,430.70",4875
"16-Feb-2022","EQ","219.70","221.60","216.65","218.45","219.05","219.40","219.28","277.30","175.00",388096,"85,102,936.50",6456
"15-Feb-2022","EQ","215.30","220.00","204.60","215.30","218.55","218.45","210.40","277.30","175.00",832217,"175,097,747.40",14683
"14-Feb-2022","EQ","221.20","221.85","212.95","224.60","214.50","215.30","217.64","277.30","175.00",535217,"116,484,291.10",11092
"11-Feb-2022","EQ","225.00","225.90","223.50","226.55","225.20","224.60","224.58","277.30","175.00",229399,"51,518,668.05",4472
"10-Feb-2022","EQ","227.00","228.00","223.25","224.25","226.40","226.55","225.35","277.30","175.00",488446,"110,069,011.75",9056
"09-Feb-2022","EQ","227.90","229.25","223.55","226.20","224.60","224.25","225.52","277.30","175.00",358793,"80,916,158.55",6784
"08-Feb-2022","EQ","229.00","230.45","221.85","228.80","225.20","226.20","227.20","277.30","175.00",642697,"146,022,627.90",11469
"07-Feb-2022","EQ","227.00","230.75","224.60","226.80","228.80","228.80","227.59","277.30","175.00",425485,"96,836,706.20",8306
"04-Feb-2022","EQ","230.65","230.80","225.60","229.00","226.80","226.80","228.14","277.30","175.00",437269,"99,757,189.65",6812
"03-Feb-2022","EQ","228.15","230.50","228.00","228.80","229.10","229.00","229.27","277.30","175.00",283307,"64,953,480.30",4294
"02-Feb-2022","EQ","231.45","233.90","227.65","230.60","230.00","228.80","230.09","277.30","175.00",518926,"119,398,848.75",7766
"01-Feb-2022","EQ","230.00","232.40","225.40","237.60","231.00","230.60","229.90","277.30","175.00",715538,"164,501,566.35",12033
"31-Jan-2022","EQ","236.50","238.90","234.00","232.45","238.20","237.60","235.99","277.30","175.00",555008,"130,976,558.20",8531
"28-Jan-2022","EQ","237.35","237.50","231.15","233.35","232.60","232.45","232.82","277.30","175.00",1270497,"295,799,461.70",12596
"27-Jan-2022","EQ","234.35","237.90","230.60","234.35","235.40","233.35","233.20","277.30","175.00",733699,"171,102,143.95",11992
"25-Jan-2022","EQ","228.75","236.00","226.15","229.50","235.15","234.35","232.32","277.30","175.00",626247,"145,490,873.85",12204
"24-Jan-2022","EQ","242.40","242.40","225.95","233.15","229.00","229.50","234.26","277.30","175.00",1401364,"328,277,703.30",26597
"21-Jan-2022","EQ","235.00","239.35","222.85","235.80","236.00","233.15","233.59","277.30","173.00",1119188,"261,428,882.40",17365
"20-Jan-2022","EQ","246.30","252.00","234.10","246.30","235.30","235.80","241.57","277.30","173.00",1619931,"391,332,022.70",24289
"19-Jan-2022","EQ","245.50","248.00","241.65","244.75","247.20","246.30","244.66","277.30","173.00",610414,"149,341,780.15",10654
"18-Jan-2022","EQ","252.50","254.50","242.55","251.60","244.75","244.75","251.15","277.30","173.00",1260476,"316,568,361.15",13241
"17-Jan-2022","EQ","245.00","252.95","244.25","242.45","250.45","251.60","249.53","277.30","173.00",1394520,"347,974,461.15",17178
"14-Jan-2022","EQ","243.75","245.85","241.20","244.60","243.50","242.45","242.91","277.30","170.10",351051,"85,274,753.25",5701
"13-Jan-2022","EQ","246.80","249.45","242.10","247.05","244.85","244.60","245.98","277.30","170.10",583316,"143,484,615.70",7125
