"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Mar-2022","EQ","100.90","101.05","98.50","99.85","98.65","98.80","99.28","151.30","78.00",37061803,"3,679,560,274.45",72954
"28-Mar-2022","EQ","101.80","101.80","99.60","103.10","99.85","99.85","100.23","151.30","78.00",28885917,"2,895,159,334.95",73697
"25-Mar-2022","EQ","104.50","105.15","102.90","104.00","103.30","103.10","104.24","151.30","67.60",29916817,"3,118,389,153.25",80034
"24-Mar-2022","EQ","102.75","104.95","102.50","103.10","103.95","104.00","103.82","151.30","67.60",41016068,"4,258,246,100.35",91732
"23-Mar-2022","EQ","100.80","104.70","99.80","99.50","102.90","103.10","102.41","151.30","67.60",100447377,"10,286,346,901.30",183407
"22-Mar-2022","EQ","99.90","101.45","98.25","99.40","99.70","99.50","99.64","151.30","67.60",43769916,"4,361,061,874.35",83186
"21-Mar-2022","EQ","98.90","100.85","98.50","98.10","99.25","99.40","99.77","151.30","67.60",44140020,"4,403,868,229.00",90135
"17-Mar-2022","EQ","98.80","100.00","97.20","97.20","98.10","98.10","98.61","151.30","67.10",50576391,"4,987,335,444.30",101337
"16-Mar-2022","EQ","96.35","97.45","96.00","94.90","97.05","97.20","96.74","151.30","67.10",30212949,"2,922,943,813.65",73557
"15-Mar-2022","EQ","99.00","99.00","93.85","99.30","94.85","94.90","96.15","151.30","67.10",44771720,"4,304,857,621.80",159058
"14-Mar-2022","EQ","100.80","101.35","98.00","99.65","99.35","99.30","99.33","151.30","67.10",46969583,"4,665,278,602.40",91590
"11-Mar-2022","EQ","99.50","101.85","99.05","99.10","99.40","99.65","100.23","151.30","67.10",44512874,"4,461,435,290.35",107811
"10-Mar-2022","EQ","97.95","99.60","96.60","96.10","99.00","99.10","98.13","151.30","67.10",41584245,"4,080,681,782.50",94706
"09-Mar-2022","EQ","96.10","97.85","95.20","96.10","96.20","96.10","96.19","151.30","67.10",31188865,"3,000,122,260.60",85530
"08-Mar-2022","EQ","98.00","98.50","93.50","98.00","95.85","96.10","95.63","151.30","67.10",38596051,"3,691,102,465.45",103936
"07-Mar-2022","EQ","97.60","99.15","94.85","97.55","97.50","98.00","96.83","151.30","67.10",38617536,"3,739,429,925.30",104282
"04-Mar-2022","EQ","101.00","102.10","97.05","101.15","97.65","97.55","99.43","151.30","67.10",46399925,"4,613,671,090.00",111874
"03-Mar-2022","EQ","101.50","102.50","100.05","99.35","101.10","101.15","101.18","151.30","67.10",42379071,"4,287,872,119.10",103863
"02-Mar-2022","EQ","96.00","100.50","95.55","96.35","99.20","99.35","99.26","151.30","67.10",57349266,"5,692,508,952.40",145944
"28-Feb-2022","EQ","91.00","96.75","90.20","91.60","96.15","96.35","94.19","151.30","67.10",51489421,"4,849,566,020.60",120565
"25-Feb-2022","EQ","89.50","92.25","88.40","85.00","91.65","91.60","90.75","151.30","65.05",42402553,"3,848,065,171.80",113490
"24-Feb-2022","EQ","90.00","91.95","84.35","94.90","85.20","85.00","88.01","151.30","65.05",71704145,"6,310,944,259.55",232437
"23-Feb-2022","EQ","94.00","96.05","93.15","93.25","94.90","94.90","94.61","151.30","65.05",25758246,"2,436,981,599.25",78985
"22-Feb-2022","EQ","93.95","94.35","91.10","95.60","92.95","93.25","92.95","151.30","65.05",31544269,"2,932,112,204.10",106437
"21-Feb-2022","EQ","96.50","97.90","95.30","96.85","95.65","95.60","96.71","151.30","65.05",24726790,"2,391,237,842.15",77169
"18-Feb-2022","EQ","97.30","98.35","96.30","97.35","96.75","96.85","97.29","151.30","62.40",24800828,"2,412,793,785.10",59148
"17-Feb-2022","EQ","98.95","99.40","97.00","98.65","97.60","97.35","98.32","151.30","62.40",17584772,"1,728,881,414.20",50907
"16-Feb-2022","EQ","98.80","100.35","98.10","98.20","98.40","98.65","99.24","151.30","62.40",23615723,"2,343,634,798.70",65007
"15-Feb-2022","EQ","97.00","98.70","94.30","96.15","98.45","98.20","96.62","151.30","62.40",30069759,"2,905,233,703.95",99439
"14-Feb-2022","EQ","100.00","100.30","95.50","101.75","95.95","96.15","97.92","151.30","62.40",32544033,"3,186,635,066.55",141593
