"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Mar-2022","EQ","129.85","136.50","129.25","129.05","132.50","133.25","133.51","336.50","120.95",5342737,"713,288,826.40",36225
"28-Mar-2022","EQ","135.00","136.20","128.10","134.95","129.00","129.05","130.74","336.50","120.95",2494374,"326,110,395.70",20153
"25-Mar-2022","EQ","140.00","140.70","133.10","139.45","135.50","134.95","135.86","336.50","120.95",3757166,"510,466,494.05",30001
"24-Mar-2022","EQ","123.35","144.35","123.00","123.55","138.90","139.45","136.99","336.50","120.95",15908637,"2,179,356,429.35",129055
"23-Mar-2022","EQ","124.85","125.25","123.25","123.35","123.30","123.55","124.07","336.50","120.95",1899226,"235,632,022.45",21778
"22-Mar-2022","EQ","123.70","125.80","121.65","122.65","123.40","123.35","123.83","336.50","120.95",2081151,"257,712,447.45",37078
"21-Mar-2022","EQ","124.95","126.15","120.95","123.80","122.40","122.65","124.10","336.50","120.95",1974449,"245,020,132.85",18638
"17-Mar-2022","EQ","129.10","129.80","123.30","127.70","123.50","123.80","125.33","336.50","121.00",2852242,"357,467,586.30",23295
"16-Mar-2022","EQ","127.50","130.55","125.20","126.15","127.50","127.70","127.09","336.50","121.00",1470230,"186,850,744.60",18283
"15-Mar-2022","EQ","127.40","129.30","125.30","127.40","125.55","126.15","127.12","336.50","121.00",1254382,"159,453,673.85",8993
"14-Mar-2022","EQ","131.00","133.00","125.30","130.55","127.00","127.40","127.88","336.50","121.00",2778415,"355,306,702.70",23540
"11-Mar-2022","EQ","128.10","136.50","128.10","128.10","130.40","130.55","132.96","336.50","121.00",2982019,"396,481,770.95",26971
"10-Mar-2022","EQ","126.70","132.00","126.50","124.10","128.35","128.10","129.13","336.50","121.00",1909826,"246,619,245.85",21055
"09-Mar-2022","EQ","124.50","126.65","123.50","123.70","124.20","124.10","124.77","336.50","121.00",1590619,"198,468,094.25",13316
"08-Mar-2022","EQ","122.00","127.15","121.30","121.65","123.45","123.70","123.46","336.50","121.00",1079392,"133,264,450.75",13083
"07-Mar-2022","EQ","125.00","125.80","121.00","127.25","122.10","121.65","123.57","336.50","121.00",954357,"117,927,982.15",15890
"04-Mar-2022","EQ","129.00","130.90","126.00","129.60","126.65","127.25","128.52","336.50","126.00",1528606,"196,455,701.15",15035
"03-Mar-2022","EQ","132.00","134.45","129.30","130.00","129.90","129.60","130.99","336.50","126.75",973458,"127,514,899.15",13007
"02-Mar-2022","EQ","133.95","136.60","128.35","134.40","130.20","130.00","131.21","336.50","126.75",1430440,"187,685,467.30",22547
"28-Feb-2022","EQ","133.95","136.40","131.90","134.50","134.40","134.40","134.63","336.50","126.75",910785,"122,619,899.80",11663
"25-Feb-2022","EQ","134.85","137.25","131.60","127.65","134.85","134.50","134.78","336.50","126.75",1017593,"137,151,919.15",12215
"24-Feb-2022","EQ","132.00","139.40","126.75","140.75","127.50","127.65","132.17","336.50","126.75",1677904,"221,774,973.90",26939
"23-Feb-2022","EQ","141.00","147.40","139.15","139.70","141.00","140.75","143.36","336.50","136.30",1719026,"246,440,290.85",25675
"22-Feb-2022","EQ","138.00","141.55","136.30","142.30","139.90","139.70","139.49","336.50","136.30",1076379,"150,139,364.00",17686
"21-Feb-2022","EQ","149.00","152.30","140.10","150.35","141.30","142.30","146.80","336.50","140.10",1531392,"224,808,901.75",19293
"18-Feb-2022","EQ","155.05","155.90","149.85","155.05","150.55","150.35","152.29","336.50","142.10",717957,"109,335,779.40",8626
"17-Feb-2022","EQ","160.00","160.75","153.60","159.95","154.60","155.05","156.88","336.50","142.10",853765,"133,940,800.10",10164
"16-Feb-2022","EQ","158.15","162.40","156.60","156.95","160.15","159.95","159.63","336.50","142.10",1539336,"245,723,452.50",15820
"15-Feb-2022","EQ","155.20","159.70","149.35","155.20","157.00","156.95","154.73","336.50","142.10",2514572,"389,079,841.20",36667
"14-Feb-2022","EQ","143.55","162.75","142.10","145.75","153.45","155.20","157.32","336.50","142.10",7056537,"1,110,130,849.70",76258
