"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Mar-2022","EQ","99.05","100.40","94.00","98.55","95.25","94.95","96.51","148.00","90.05",241664,"23,322,406.65",3444
"28-Mar-2022","EQ","101.15","102.50","97.85","101.15","98.40","98.55","100.70","148.00","90.05",99229,"9,992,266.95",1583
"25-Mar-2022","EQ","95.05","103.50","95.05","95.65","101.80","101.15","99.77","148.00","90.05",247924,"24,734,419.60",5848
"24-Mar-2022","EQ","98.05","99.30","95.00","98.05","95.80","95.65","96.42","148.00","90.05",129803,"12,516,160.35",2736
"23-Mar-2022","EQ","102.35","102.40","97.50","100.95","97.75","98.05","99.31","148.00","90.05",128393,"12,751,282.60",2670
"22-Mar-2022","EQ","104.45","104.45","100.70","102.95","101.00","100.95","101.58","148.00","90.05",163499,"16,608,628.30",1747
"21-Mar-2022","EQ","103.50","105.70","102.50","103.90","102.70","102.95","103.89","148.00","90.05",74363,"7,725,694.05",1255
"17-Mar-2022","EQ","106.40","106.65","103.40","104.85","103.40","103.90","104.99","148.00","90.05",146302,"15,359,760.20",3244
"16-Mar-2022","EQ","107.00","107.05","103.05","104.85","104.40","104.85","105.21","148.00","90.05",51097,"5,375,813.35",1244
"15-Mar-2022","EQ","107.25","107.25","104.40","106.00","104.70","104.85","105.07","148.00","90.05",195864,"20,579,980.30",1110
"14-Mar-2022","EQ","105.00","107.85","105.00","104.75","105.55","106.00","106.11","148.00","90.05",51009,"5,412,767.40",915
"11-Mar-2022","EQ","104.05","106.55","104.00","105.60","104.90","104.75","104.92","148.00","90.05",69529,"7,294,988.60",908
"10-Mar-2022","EQ","109.70","109.75","104.20","106.35","105.10","105.60","106.22","148.00","90.05",89354,"9,491,379.40",1760
"09-Mar-2022","EQ","104.80","110.30","104.80","104.00","106.50","106.35","108.05","148.00","90.05",87544,"9,458,765.40",1129
"08-Mar-2022","EQ","103.00","105.90","102.70","103.00","104.00","104.00","104.17","148.00","90.05",71022,"7,398,432.50",881
"07-Mar-2022","EQ","104.20","104.95","101.80","106.15","103.00","103.00","103.14","148.00","90.05",57680,"5,949,079.95",1252
"04-Mar-2022","EQ","108.05","109.75","105.80","108.60","106.50","106.15","107.00","148.00","90.05",42100,"4,504,895.65",1109
"03-Mar-2022","EQ","108.60","109.95","107.00","107.60","108.80","108.60","108.57","148.00","90.05",23571,"2,559,200.90",769
"02-Mar-2022","EQ","105.95","108.90","101.30","106.15","105.10","107.60","106.65","148.00","90.05",48958,"5,221,485.85",1319
"28-Feb-2022","EQ","103.00","107.45","102.80","105.60","105.00","106.15","104.77","148.00","90.05",29484,"3,088,923.25",997
"25-Feb-2022","EQ","100.10","107.15","100.10","99.80","105.10","105.60","105.28","148.00","71.10",48104,"5,064,241.20",1031
"24-Feb-2022","EQ","108.00","108.00","95.25","110.75","99.00","99.80","102.27","148.00","71.10",102460,"10,478,306.40",2772
"23-Feb-2022","EQ","108.90","112.00","105.05","107.65","110.00","110.75","109.27","148.00","71.10",54570,"5,962,830.65",1165
"22-Feb-2022","EQ","104.00","108.90","101.20","106.20","107.05","107.65","104.69","148.00","71.10",49541,"5,186,254.80",1324
"21-Feb-2022","EQ","108.00","109.30","105.35","109.70","106.40","106.20","107.57","148.00","71.10",45610,"4,906,162.40",1088
