Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
29-March-2022,4396.55,4402.40,4364.05,4379.60,4384.664031620553359683,253,77,1109320.00,184,72.73,38.35,-16.95
28-March-2022,4410.00,4469.00,4320.20,4354.40,4381.042787545011650074,4721,819,20682903.00,3698,78.33,148.80,-55.60
25-March-2022,4400.05,4491.15,4399.00,4413.95,4446.053773584905660377,1060,275,4712817.00,652,61.51,92.15,13.90
24-March-2022,4497.80,4528.80,4432.60,4448.30,4487.246606334841628959,442,228,1983363.00,242,54.75,96.20,-49.50
23-March-2022,4549.50,4563.70,4406.15,4421.60,4488.915000000000000000,400,165,1795566.00,244,61.00,157.55,-127.90
22-March-2022,4390.20,4522.20,4301.00,4497.55,4417.771367521367521367,468,236,2067517.00,223,47.65,221.20,107.35
21-March-2022,4339.00,4416.30,4270.00,4355.60,4369.975427350427350427,936,321,4090297.00,545,58.23,146.30,16.60
17-March-2022,4398.85,4524.00,4185.10,4310.95,4360.913509649749821300,1399,563,6100918.00,791,56.54,338.90,-87.90
16-March-2022,4616.05,4681.25,4384.35,4400.45,4409.590295262073701075,4369,1520,19265500.00,2830,64.77,296.90,-215.60
15-March-2022,4980.00,4980.00,4615.10,4615.10,4676.618347693867207298,1973,783,9226968.00,1428,72.38,364.90,-364.90
14-March-2022,4877.00,4911.95,4683.40,4857.95,4858.695078031212484993,5831,356,28331051.00,5439,93.28,228.55,-19.05
11-March-2022,4705.00,4898.00,4705.00,4851.55,4834.368466152527849185,1167,350,5641708.00,1167,100.00,193.00,146.55
10-March-2022,4700.00,4774.00,4657.10,4744.00,4706.384615384615384615,1300,392,6118300.00,1300,100.00,116.90,44.00
9-March-2022,4598.00,4635.00,4443.15,4598.95,4518.700800191090409650,41865,600,189175409.00,41865,100.00,191.85,0.95
8-March-2022,4316.00,4490.00,4316.00,4460.35,4427.128249566724436741,577,175,2554453.00,577,100.00,174.00,144.35
7-March-2022,4425.00,4569.00,4232.30,4378.60,4357.332260659694288012,2486,496,10832328.00,2486,100.00,336.70,-46.40
4-March-2022,4480.00,4488.80,4231.00,4405.50,4404.596049573973663826,2582,673,11372667.00,2582,100.00,257.80,-74.50
3-March-2022,4200.00,4330.40,4200.00,4326.75,4312.305278592375366568,3410,503,14704961.00,3410,100.00,130.40,126.75
2-March-2022,4039.90,4135.05,3905.00,4124.20,4105.415780141843971631,2256,398,9261818.00,2256,100.00,230.05,84.30
28-February-2022,3925.00,4099.00,3835.00,3938.15,3930.749430523917995444,1756,499,6902396.00,,,264.00,13.15
25-February-2022,3990.00,4062.95,3925.00,3965.40,4017.294029850746268656,1340,306,5383174.00,1340,100.00,137.95,-24.60
24-February-2022,4054.00,4054.00,3865.40,3869.50,3902.061432058584214808,2458,468,9591267.00,2458,100.00,188.60,-184.50
23-February-2022,4189.90,4241.00,4050.00,4068.80,4127.513196480938416422,341,164,1407482.00,341,100.00,191.00,-121.10
22-February-2022,4085.00,4193.00,4085.00,4099.25,4131.648414985590778097,694,203,2867364.00,694,100.00,108.00,14.25
21-February-2022,4410.00,4528.00,4255.05,4297.85,4274.520164046479835953,1463,491,6253623.00,1463,100.00,272.95,-112.15
18-February-2022,4383.50,4576.90,4383.50,4478.95,4506.829268292682926829,533,123,2402140.00,533,100.00,193.40,95.45
17-February-2022,4380.00,4498.40,4255.00,4411.40,4392.690492713393476752,1441,392,6329867.00,1441,100.00,243.40,31.40
16-February-2022,4250.00,4386.15,4003.10,4381.45,4297.429383471797114123,2287,587,9828221.00,2287,100.00,383.05,131.45
15-February-2022,4099.00,4249.95,3957.10,4177.30,4098.545038167938931297,655,222,2684547.00,655,100.00,292.85,78.30
14-February-2022,4070.00,4150.00,4004.80,4087.75,4069.627600849256900212,4710,721,19167946.00,4710,100.00,145.20,17.75
11-February-2022,4198.95,4289.00,4002.05,4215.55,4154.999195494770716009,3729,659,15493992.00,3729,100.00,286.95,16.60
10-February-2022,3840.00,4159.95,3800.00,4159.95,3998.155910543130990415,3130,595,12514228.00,3130,100.00,359.95,319.95
9-February-2022,4089.00,4089.00,3820.90,3961.90,3842.126768917888314549,11801,1031,45340938.00,11801,100.00,268.10,-127.10
8-February-2022,3996.00,4328.00,3941.25,4021.95,3982.305570015616866215,3842,664,15300018.00,3842,100.00,386.75,25.95
7-February-2022,4148.70,4288.00,4148.65,4148.65,4158.340951492537313432,2144,569,8915483.00,2144,100.00,139.35,-0.05
4-February-2022,4451.00,4574.00,4363.30,4367.00,4408.876973684210526315,3040,856,13402986.00,3040,100.00,210.70,-84.00
3-February-2022,4850.00,4850.00,4592.90,4592.90,4649.816438356164383561,1825,536,8485915.00,1825,100.00,257.10,-257.10
2-February-2022,4850.00,4915.00,4750.00,4834.60,4861.059268600252206809,793,252,3854820.00,793,100.00,165.00,-15.40
1-February-2022,4570.00,4870.00,4570.00,4815.95,4761.868801652892561983,968,263,4609489.00,968,100.00,300.00,245.95
31-January-2022,4595.90,4730.00,4475.00,4723.70,4615.301418439716312056,2256,509,10412120.00,2256,100.00,255.00,127.80
28-January-2022,4700.75,4750.00,4506.60,4506.60,4580.844155844155844155,2233,727,10229025.00,2233,100.00,243.40,-194.15
27-January-2022,5000.00,5000.00,4743.75,4743.75,4751.174209050861033239,2497,445,11863682.00,2497,100.00,256.25,-256.25
25-January-2022,4888.00,5112.00,4625.55,4993.40,4683.764259808770194526,3033,908,14205857.00,3033,100.00,486.45,105.40
24-January-2022,5243.00,5243.00,4868.95,4868.95,4914.345423143350604490,1737,420,8536218.00,1737,100.00,374.05,-374.05
21-January-2022,5139.00,5249.00,5070.00,5125.20,5139.264187866927592954,1022,314,5252328.00,1022,100.00,179.00,-13.80
20-January-2022,5201.50,5299.00,5125.00,5175.05,5199.594818652849740932,965,258,5017609.00,965,100.00,174.00,-26.45
19-January-2022,5310.00,5440.00,5200.00,5267.20,5287.687500000000000000,1936,486,10236963.00,1936,100.00,240.00,-42.80
18-January-2022,5225.00,5399.00,5170.00,5334.15,5260.566037735849056603,583,138,3066910.00,583,100.00,229.00,109.15
17-January-2022,5280.00,5345.00,5111.00,5228.30,5210.815306767868437697,1581,309,8238299.00,1581,100.00,234.00,-51.70
14-January-2022,5220.00,5323.90,5203.05,5264.45,5242.187500000000000000,672,200,3522750.00,672,100.00,120.85,44.45
13-January-2022,5268.00,5349.70,5230.10,5280.95,5290.292763157894736842,304,85,1608249.00,304,100.00,119.60,12.95
12-January-2022,5300.00,5350.00,5232.00,5271.55,5288.177227722772277227,1010,257,5341059.00,1010,100.00,118.00,-28.45
11-January-2022,5300.00,5350.00,5260.00,5299.60,5301.819218241042345276,614,167,3255317.00,614,100.00,90.00,-0.40
10-January-2022,5011.10,5348.80,5011.10,5285.05,5232.940080971659919028,1235,351,6462681.00,1235,100.00,337.70,273.95
7-January-2022,5370.00,5370.00,5101.10,5196.35,5255.124792013311148086,1202,344,6316660.00,1202,100.00,268.90,-173.65
6-January-2022,5216.00,5367.90,5200.00,5287.85,5272.203125000000000000,896,261,4723894.00,896,100.00,167.90,71.85
5-January-2022,5351.00,5415.00,5198.80,5317.75,5305.210412147505422993,461,84,2445702.00,461,100.00,216.20,-33.25
4-January-2022,5458.95,5458.95,5185.00,5335.10,5388.210410819086501658,19595,159,105581983.00,19595,100.00,273.95,-123.85
3-January-2022,5200.00,5450.00,5151.00,5351.40,5286.699830412662521198,1769,315,9352172.00,1769,100.00,299.00,151.40
31-December-2021,5338.00,5338.00,5171.00,5251.40,5281.014957264957264957,468,92,2471515.00,468,100.00,167.00,-86.60
30-December-2021,5261.00,5379.00,5200.00,5225.30,5265.748201438848920863,278,99,1463878.00,278,100.00,179.00,-35.70
29-December-2021,5428.00,5428.00,5251.00,5275.30,5302.756862745098039215,255,100,1352203.00,255,100.00,177.00,-152.70
28-December-2021,5487.00,5487.00,5270.05,5280.75,5368.903988183161004431,677,167,3634748.00,677,100.00,216.95,-206.25
27-December-2021,5049.00,5291.20,4946.20,5291.20,5130.156302521008403361,595,102,3052443.00,595,100.00,345.00,242.20
24-December-2021,5020.00,5094.95,4739.00,5039.25,4911.457228614307153576,1999,310,9818003.00,1999,100.00,355.95,19.25
23-December-2021,5055.55,5100.00,4868.00,4988.10,4990.818388195232690124,881,324,4396911.00,881,100.00,232.00,-67.45
22-December-2021,5050.00,5098.60,4981.00,5063.15,5050.371234939759036144,1328,199,6706893.00,1328,100.00,117.60,13.15
21-December-2021,5048.95,5048.95,4940.00,4981.45,4986.160337552742616033,1422,194,7090320.00,1422,100.00,108.95,-67.50
20-December-2021,4954.00,5044.90,4766.00,4946.90,4868.349869451697127937,766,239,3729156.00,766,100.00,278.90,-7.10
17-December-2021,4990.15,5069.85,4872.10,4972.95,4972.122205663189269746,671,201,3336294.00,671,100.00,197.75,-17.20
16-December-2021,5069.00,5149.00,4905.00,4993.55,5020.795665634674922600,323,75,1621717.00,323,100.00,244.00,-75.45
15-December-2021,4916.35,5070.00,4851.00,4957.80,4989.113553113553113553,1365,280,6810140.00,1365,100.00,219.00,41.45
14-December-2021,5089.00,5099.00,4901.00,5024.95,4984.974169741697416974,813,215,4052784.00,813,100.00,198.00,-64.05
13-December-2021,5101.00,5298.00,4896.00,5030.15,5018.149105367793240556,1006,175,5048258.00,1006,100.00,402.00,-70.85
10-December-2021,4835.10,5144.00,4835.10,5048.55,4980.370192307692307692,1664,405,8287336.00,1664,100.00,308.90,213.45
9-December-2021,5059.00,5064.00,4822.25,4992.10,4954.243613138686131386,1096,366,5429851.00,1096,100.00,241.75,-66.90
8-December-2021,4831.00,4831.70,4799.00,4831.70,4822.269652650822669104,1094,122,5275563.00,1094,100.00,32.70,0.70
7-December-2021,4546.00,4601.65,4400.00,4601.65,4537.458046767537826685,1454,231,6597464.00,1454,100.00,201.65,55.65
6-December-2021,4537.00,4538.80,4312.05,4382.55,4434.452119309262166405,637,168,2824746.00,637,100.00,226.75,-154.45
3-December-2021,4311.05,4499.95,4260.10,4414.25,4369.590673575129533678,965,241,4216655.00,965,100.00,239.85,103.20
2-December-2021,4423.90,4423.90,4251.00,4368.95,4311.063091482649842271,317,61,1366607.00,317,100.00,172.90,-54.95
1-December-2021,4251.00,4294.95,4125.00,4276.95,4221.817266187050359712,695,105,2934163.00,695,100.00,169.95,25.95
30-November-2021,4444.00,4520.00,4148.00,4224.00,4293.555816135084427767,2132,382,9153861.00,2132,100.00,372.00,-220.00
29-November-2021,4373.95,4411.00,4113.30,4366.15,4289.899585921325051759,966,213,4144043.00,966,100.00,297.70,-7.80
26-November-2021,4492.00,4587.95,4273.50,4310.85,4353.858730158730158730,1890,533,8228793.00,1890,100.00,314.45,-181.15
25-November-2021,4498.60,4538.80,4288.80,4498.40,4421.272588055130168453,653,189,2887091.00,653,100.00,250.00,-0.20
24-November-2021,4399.90,4512.95,4298.05,4398.50,4428.474878444084278768,1234,277,5464738.00,1234,100.00,214.90,-1.40
23-November-2021,4239.00,4365.50,4044.40,4298.05,4222.255360623781676413,1026,228,4332034.00,1026,100.00,321.10,59.05
22-November-2021,4287.85,4365.00,4073.50,4158.50,4183.234776228906823184,1363,410,5701749.00,1363,100.00,291.50,-129.35
18-November-2021,4450.00,4450.00,4252.20,4287.85,4310.700841622035195103,1307,300,5634086.00,1307,100.00,197.80,-162.15
17-November-2021,4300.00,4469.00,4280.10,4428.65,4347.200214132762312633,934,246,4060285.00,934,100.00,188.90,128.65
