,cpe23Uri,titles,vulnerabilities,feedTimestamp
0,cpe:2.3:a:debian:lintian:2.5.38:*:*:*:*:*:*:*,Debian Lintian 2.5.38,['CVE-2017-8829'],2022-03-20T11:49Z
1,cpe:2.3:a:debian:lintian:2.5.38.1:*:*:*:*:*:*:*,Debian Lintian 2.5.38.1,['CVE-2017-8829'],2022-03-20T11:49Z
2,cpe:2.3:a:debian:lintian:2.5.39:*:*:*:*:*:*:*,Debian Lintian 2.5.39,['CVE-2017-8829'],2022-03-20T11:49Z
3,cpe:2.3:a:debian:lintian:2.5.39.1:*:*:*:*:*:*:*,Debian Lintian 2.5.39.1,['CVE-2017-8829'],2022-03-20T11:49Z
4,cpe:2.3:a:debian:lintian:2.5.40:*:*:*:*:*:*:*,Debian Lintian 2.5.40,['CVE-2017-8829'],2022-03-20T11:49Z
5,cpe:2.3:a:debian:lintian:2.5.40.1:*:*:*:*:*:*:*,Debian Lintian 2.5.40.1,['CVE-2017-8829'],2022-03-20T11:49Z
6,cpe:2.3:a:debian:lintian:2.5.40.2:*:*:*:*:*:*:*,Debian Lintian 2.5.40.2,['CVE-2017-8829'],2022-03-20T11:49Z
7,cpe:2.3:a:debian:lintian:2.5.41:*:*:*:*:*:*:*,Debian Lintian 2.5.41,['CVE-2017-8829'],2022-03-20T11:49Z
8,cpe:2.3:a:debian:lintian:2.5.42:*:*:*:*:*:*:*,Debian Lintian 2.5.42,['CVE-2017-8829'],2022-03-20T11:49Z
9,cpe:2.3:a:debian:lintian:2.5.42.1:*:*:*:*:*:*:*,Debian Lintian 2.5.42.1,['CVE-2017-8829'],2022-03-20T11:49Z
