,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,required_col,new_col
0,5,1,1,1,1,1,1992,262,340,61,96.400350,Personal,"block_1,line_1,word_ 1",Personal Flood Insurance Policy Application
1,5,1,1,1,1,2,2367,262,216,61,95.678079,Flood,"block_1,line_1,word_ 2",Personal Flood Insurance Policy Application
2,5,1,1,1,1,3,2618,262,384,61,95.316988,Insurance,"block_1,line_1,word_ 3",Personal Flood Insurance Policy Application
3,5,1,1,1,1,4,3035,262,238,78,95.316988,Policy,"block_1,line_1,word_ 4",Personal Flood Insurance Policy Application
4,5,1,1,1,1,5,3298,262,446,77,96.650049,Application,"block_1,line_1,word_ 5",Personal Flood Insurance Policy Application
5,5,1,2,1,1,1,505,461,197,65,96.405576,Policy,"block_2,line_1,word_ 1",Policy Form Check only one of the
6,5,1,2,1,1,2,728,461,163,51,92.222037,Form,"block_2,line_1,word_ 2",Policy Form Check only one of the
7,5,1,2,1,1,3,977,461,205,51,92.222037,Check,"block_2,line_1,word_ 3",Policy Form Check only one of the
8,5,1,2,1,1,4,1204,461,139,65,96.020962,only,"block_2,line_1,word_ 4",Policy Form Check only one of the
9,5,1,2,1,1,5,1367,474,117,38,95.523460,one,"block_2,line_1,word_ 5",Policy Form Check only one of the
10,5,1,2,1,1,6,1509,461,64,51,95.523460,of,"block_2,line_1,word_ 6",Policy Form Check only one of the
11,5,1,2,1,1,7,1592,461,100,51,95.709202,the,"block_2,line_1,word_ 7",Policy Form Check only one of the
12,5,1,2,1,2,1,501,540,300,65,96.303474,following,"block_2,line_2,word_ 1",following
13,5,1,2,1,3,1,505,621,192,51,96.319447,House,"block_2,line_3,word_ 1",House (includes a detached garage) x
14,5,1,2,1,3,2,723,621,271,65,96.062327,(includes,"block_2,line_3,word_ 2",House (includes a detached garage) x
15,5,1,2,1,3,3,1018,634,33,38,95.996718,a,"block_2,line_3,word_ 3",House (includes a detached garage) x
16,5,1,2,1,3,4,1077,621,279,51,96.544693,detached,"block_2,line_3,word_ 4",House (includes a detached garage) x
17,5,1,2,1,3,5,1382,621,234,65,95.132710,garage),"block_2,line_3,word_ 5",House (includes a detached garage) x
18,5,1,2,1,3,6,1682,636,50,36,65.762305,x,"block_2,line_3,word_ 6",House (includes a detached garage) x
19,5,1,3,1,1,1,2255,461,198,65,95.954051,Policy,"block_3,line_1,word_ 1",Policy Type
20,5,1,3,1,1,2,2474,461,158,65,96.353614,Type,"block_3,line_1,word_ 2",Policy Type
21,5,1,3,1,2,1,2255,541,133,51,96.701641,New,"block_3,line_2,word_ 1",New Endorsement o
22,5,1,3,1,2,2,2532,541,407,51,93.303040,Endorsement,"block_3,line_2,word_ 2",New Endorsement o
23,5,1,3,1,2,3,2964,559,32,32,92.114737,o,"block_3,line_2,word_ 3",New Endorsement o
24,5,1,4,1,1,1,2253,621,227,51,96.753819,Current,"block_4,line_1,word_ 1",Current Flood Policy #:
25,5,1,4,1,1,2,2506,621,164,51,96.626830,Flood,"block_4,line_1,word_ 2",Current Flood Policy #:
26,5,1,4,1,1,3,2699,621,180,65,93.279960,Policy,"block_4,line_1,word_ 3",Current Flood Policy #:
27,5,1,4,1,1,4,2899,621,51,51,92.434998,#:,"block_4,line_1,word_ 4",Current Flood Policy #:
28,5,1,5,1,1,1,2206,434,1590,348,95.000000, ,"block_5,line_1,word_ 1", 
29,5,1,6,1,1,1,503,701,420,51,93.090022,Condominium,"block_6,line_1,word_ 1",Condominium o
30,5,1,6,1,1,2,972,719,32,32,88.605584,o,"block_6,line_1,word_ 2",Condominium o
31,5,1,6,1,2,1,503,781,368,64,93.220602,Cooperative,"block_6,line_2,word_ 1",Cooperative o
32,5,1,6,1,2,2,917,799,32,32,91.936747,o,"block_6,line_2,word_ 2",Cooperative o
33,5,1,7,1,1,1,503,862,171,51,96.463269,Other,"block_7,line_1,word_ 1",Other permanent structure o SIG/VIP o
34,5,1,7,1,1,2,696,864,327,62,95.937493,permanent,"block_7,line_1,word_ 2",Other permanent structure o SIG/VIP o
35,5,1,7,1,1,3,1045,864,265,49,90.698833,structure,"block_7,line_1,word_ 3",Other permanent structure o SIG/VIP o
36,5,1,7,1,1,4,1358,880,32,32,88.501908,o,"block_7,line_1,word_ 4",Other permanent structure o SIG/VIP o
37,5,1,7,1,1,5,2253,882,244,51,89.799510,SIG/VIP,"block_7,line_1,word_ 5",Other permanent structure o SIG/VIP o
38,5,1,7,1,1,6,2525,900,32,32,68.091140,o,"block_7,line_1,word_ 6",Other permanent structure o SIG/VIP o
39,5,1,8,1,1,1,505,1063,325,64,96.580784,Requested,"block_8,line_1,word_ 1",Requested Policy Effective Date: 91/14/2022 12:01 AM Standard Time at the Insured Property
40,5,1,8,1,1,2,860,1063,180,65,96.196365,Policy,"block_8,line_1,word_ 2",Requested Policy Effective Date: 91/14/2022 12:01 AM Standard Time at the Insured Property
41,5,1,8,1,1,3,1064,1063,258,51,96.257240,Effective,"block_8,line_1,word_ 3",Requested Policy Effective Date: 91/14/2022 12:01 AM Standard Time at the Insured Property
42,5,1,8,1,1,4,1349,1063,154,51,93.409562,Date:,"block_8,line_1,word_ 4",Requested Policy Effective Date: 91/14/2022 12:01 AM Standard Time at the Insured Property
43,5,1,8,1,1,5,1545,1067,210,32,66.352568,91/14/2022,"block_8,line_1,word_ 5",Requested Policy Effective Date: 91/14/2022 12:01 AM Standard Time at the Insured Property
44,5,1,8,1,1,6,2018,1063,154,51,96.589120,12:01,"block_8,line_1,word_ 6",Requested Policy Effective Date: 91/14/2022 12:01 AM Standard Time at the Insured Property
