,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description
0,CVE-2004-1776,,,,2001-02-28,2017-07-11,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Cisco IOS 12.1(3) and 12.1(3)T allows remote attackers to read and modify device configuration data via the cable-docsis read-write community string used by the Data Over Cable Service Interface Specification (DOCSIS) standard.
1,CVE-2001-1585,287.0,,Bypass,2001-12-31,2017-07-29,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"SSH protocol 2 (aka SSH-2) public key authentication in the development snapshot of OpenSSH 2.3.1, available from 2001-01-18 through 2001-02-08, does not perform a challenge-response step to ensure that the client has the proper private key, which allows remote attackers to bypass authentication as other users by supplying a public key from that user's authorized_keys file."
2,CVE-2001-1584,20.0,,Exec Code,2001-12-31,2017-07-29,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,CardBoard 2.4 greeting card CGI by Michael Barretto allows remote attackers to execute arbitrary commands via shell metacharacters in the recipient field.
3,CVE-2001-1583,,,Exec Code,2001-12-31,2018-10-30,10.0,None,Remote,Low,Not required,Complete,Complete,Complete,lpd daemon (in.lpd) in Solaris 8 and earlier allows remote attackers to execute arbitrary commands via a job request with a crafted control file that is not properly handled when lpd invokes a mail program. NOTE: this might be the same vulnerability as CVE-2000-1220.
4,CVE-2001-1582,119.0,,Exec Code Overflow,2001-12-31,2018-10-30,7.2,None,Local,Low,Not required,Complete,Complete,Complete,Buffer overflow in the LDAP naming services library (libsldap) in Sun Solaris 8 allows local users to execute arbitrary code via a long LDAP_OPTIONS environment variable to a privileged program that uses libsldap.
5,CVE-2001-1581,,,Bypass,2001-12-31,2017-07-29,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,The File Blocker feature in Clearswift MAILsweeper for SMTP 4.2 allows remote attackers to bypass e-mail attachment filtering policies via a modified name in a Content-Type header.
6,CVE-2001-1580,,,Dir. Trav.,2001-12-31,2017-12-19,5.0,None,Remote,Low,Not required,Partial,None,None,"Directory traversal vulnerability in ScriptEase viewcode.jse for Netware 5.1 before 5.1 SP3 allows remote attackers to read arbitrary files via "".."" sequences in the query string."
7,CVE-2001-1579,,,DoS,2001-12-31,2008-09-05,5.0,None,Remote,Low,Not required,None,None,Partial,"The timed program (in.timed) in UnixWare 7 and OpenUnix 8.0.0 does not properly terminate certain strings with a null, which allows remote attackers to cause a denial of service."
8,CVE-2001-1578,,,,2001-12-31,2008-09-05,2.1,None,Local,Low,Not required,None,Partial,None,Unknown vulnerability in SCO OpenServer 5.0.6 and earlier allows local users to modify critical information such as certain CPU registers and segment descriptors.
9,CVE-2001-1577,,,+Priv,2001-12-31,2017-07-11,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,"Unknown vulnerability in CDE in Caldera OpenUnix 7.1.0, 7.1.1, and 8.0 allows an xterm session to gain privileges when the session is reused."
