Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
29-Mar-22,EQ,27.3,28.1,26.2,26.8,27.85,27.95,27.89,44.7,15.1,694845,"1,93,80,850.20",1637
28-Mar-22,EQ,25.55,26.8,24.5,25.55,26.8,26.8,25.98,44.7,15.1,228897,"59,47,463.20",1159
25-Mar-22,EQ,26.1,26.5,25.4,26.05,25.75,25.55,25.83,44.7,15.1,63392,"16,37,418.10",481
24-Mar-22,EQ,27.4,27.4,25.9,26.9,26.25,26.05,26.39,44.7,15.1,84995,"22,42,651.75",618
23-Mar-22,EQ,26,27.7,25.5,26.4,27.45,26.9,26.67,44.7,15.1,104582,"27,88,729.75",609
22-Mar-22,EQ,27.25,27.25,26,27.35,26.2,26.4,26.22,44.7,15.1,234631,"61,51,982.50",860
21-Mar-22,EQ,28.7,29.05,27.35,28.75,27.35,27.35,27.67,44.7,15.1,251104,"69,46,812.60",658
17-Mar-22,EQ,28.8,29.5,27.4,28.15,28.6,28.75,28.8,44.7,15.1,401140,"1,15,53,979.60",1724
16-Mar-22,EQ,27.65,28.15,27.1,26.85,28.15,28.15,27.67,44.7,15.1,280813,"77,70,757.55",1284
15-Mar-22,EQ,25.3,26.85,25.3,25.6,26.85,26.85,26.6,44.7,15.1,382144,"1,01,65,681.00",1031
14-Mar-22,EQ,25.45,25.7,24,24.5,25.25,25.6,25.43,44.7,15.1,262051,"66,65,216.45",855
11-Mar-22,EQ,23.4,24.55,23.2,23.4,24.55,24.5,24.09,44.7,15.1,193743,"46,67,003.80",933
10-Mar-22,EQ,23.45,23.8,23,22.7,23.4,23.4,23.47,44.7,15.1,138724,"32,55,734.95",570
09-Mar-22,EQ,23,23,22.1,22.2,23,22.7,22.68,44.7,15.1,158146,"35,85,963.35",629
08-Mar-22,EQ,22.3,22.6,21.3,21.85,22.15,22.2,22.12,44.7,15.1,93586,"20,70,369.10",494
07-Mar-22,EQ,22.9,22.95,21.8,22.9,22.2,21.85,22.08,44.7,15.1,140571,"31,03,655.00",650
04-Mar-22,EQ,23.5,23.5,22.6,23.1,22.9,22.9,22.97,44.7,15.1,72182,"16,58,176.45",516
03-Mar-22,EQ,23.65,23.9,22.9,23.05,23.1,23.1,23.39,44.7,15.1,114437,"26,76,514.65",593
02-Mar-22,EQ,24.2,24.2,22.75,23.65,23.1,23.05,23.25,44.7,15.1,191078,"44,42,023.60",832
28-Feb-22,EQ,24.1,24.1,23.05,24.1,23.6,23.65,23.53,44.7,15.1,130217,"30,64,120.60",564
25-Feb-22,EQ,23.8,24.9,23.75,24.55,24,24.1,24.28,44.7,15.1,206773,"50,20,371.15",1110
24-Feb-22,EQ,24.6,25.1,24.55,25.8,24.55,24.55,24.58,44.7,15.1,55957,"13,75,371.95",182
